timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W]
2026/04/29 13:14:55.187, 74, 8, 5378, 81920, 120.81
2026/04/29 13:14:56.188, 55, 8, 5378, 81920, 229.27
2026/04/29 13:14:57.189, 56, 2, 5378, 81920, 295.10
2026/04/29 13:14:58.190, 83, 21, 5378, 81920, 121.13
2026/04/29 13:14:59.190, 58, 2, 5378, 81920, 145.90
2026/04/29 13:15:00.191, 25, 1, 5378, 81920, 191.29
2026/04/29 13:15:01.193, 77, 16, 5378, 81920, 120.81
2026/04/29 13:15:02.193, 35, 5, 5378, 81920, 322.04
2026/04/29 13:15:03.194, 46, 18, 5378, 81920, 136.42
2026/04/29 13:15:04.195, 83, 7, 5378, 81920, 146.93
2026/04/29 13:15:05.196, 41, 1, 5378, 81920, 129.56
2026/04/29 13:15:06.197, 54, 6, 5378, 81920, 131.08
2026/04/29 13:15:07.197, 15, 4, 5378, 81920, 144.71
2026/04/29 13:15:08.198, 77, 24, 5378, 81920, 135.04
2026/04/29 13:15:09.199, 69, 22, 5378, 81920, 131.36
2026/04/29 13:15:10.200, 80, 16, 5378, 81920, 126.62
2026/04/29 13:15:11.201, 47, 1, 5378, 81920, 329.17
2026/04/29 13:15:12.202, 25, 1, 5378, 81920, 137.44
2026/04/29 13:15:13.203, 60, 25, 5378, 81920, 253.83
2026/04/29 13:15:14.203, 81, 2, 5378, 81920, 129.29
2026/04/29 13:15:15.204, 41, 4, 5378, 81920, 135.23
2026/04/29 13:15:16.205, 38, 4, 5378, 81920, 132.23
2026/04/29 13:15:17.205, 60, 12, 5378, 81920, 134.49
2026/04/29 13:15:18.206, 77, 15, 5378, 81920, 131.82
2026/04/29 13:15:19.207, 51, 7, 5378, 81920, 137.44
2026/04/29 13:15:20.207, 48, 19, 5378, 81920, 147.71
2026/04/29 13:15:21.208, 86, 18, 5378, 81920, 218.59
2026/04/29 13:15:22.209, 56, 2, 5378, 81920, 245.88
2026/04/29 13:15:23.210, 67, 10, 5378, 81920, 120.41
2026/04/29 13:15:24.210, 78, 2, 5378, 81920, 226.59
2026/04/29 13:15:25.211, 71, 2, 5378, 81920, 266.64
2026/04/29 13:15:26.212, 58, 3, 5378, 81920, 203.71
2026/04/29 13:15:27.213, 36, 3, 5378, 81920, 149.44
2026/04/29 13:15:28.213, 51, 20, 5378, 81920, 131.50
2026/04/29 13:15:29.214, 43, 4, 5378, 81920, 144.59
2026/04/29 13:15:30.215, 75, 16, 5378, 81920, 165.63
2026/04/29 13:15:31.261, 4, 0, 5378, 81920, 258.30
2026/04/29 13:15:32.262, 50, 6, 5378, 81920, 120.68
2026/04/29 13:15:33.263, 51, 17, 5378, 81920, 133.57
2026/04/29 13:15:34.264, 83, 36, 5378, 81920, 142.03
2026/04/29 13:15:35.265, 79, 8, 5378, 81920, 144.10
2026/04/29 13:15:36.266, 59, 12, 5378, 81920, 227.74
2026/04/29 13:15:37.266, 14, 4, 5378, 81920, 120.41
2026/04/29 13:15:38.267, 86, 10, 5378, 81920, 145.73
2026/04/29 13:15:39.268, 39, 10, 5378, 81920, 180.29
2026/04/29 13:15:40.269, 32, 3, 5378, 81920, 122.28
2026/04/29 13:15:41.269, 36, 14, 5378, 81920, 284.71
2026/04/29 13:15:42.270, 83, 9, 5378, 81920, 135.83
2026/04/29 13:15:43.271, 76, 12, 5378, 81920, 150.37
2026/04/29 13:15:44.272, 56, 13, 5378, 81920, 127.49
2026/04/29 13:15:45.272, 43, 6, 5378, 81920, 127.35
2026/04/29 13:15:46.273, 65, 19, 5378, 81920, 142.64
2026/04/29 13:15:47.274, 56, 13, 5378, 81920, 269.03
2026/04/29 13:15:48.274, 69, 13, 5378, 81920, 246.17
2026/04/29 13:15:49.275, 64, 13, 5378, 81920, 182.08
2026/04/29 13:15:50.276, 85, 18, 5378, 81920, 218.25
2026/04/29 13:15:51.276, 44, 12, 5378, 81920, 130.02
2026/04/29 13:15:52.277, 70, 2, 5378, 81920, 284.71
2026/04/29 13:15:53.278, 42, 10, 5378, 81920, 284.10
2026/04/29 13:15:54.279, 79, 24, 5378, 81920, 144.59
2026/04/29 13:15:55.280, 67, 16, 5378, 81920, 145.30
2026/04/29 13:15:56.281, 34, 6, 5378, 81920, 138.64
2026/04/29 13:15:57.282, 49, 11, 5378, 81920, 135.23
2026/04/29 13:15:58.282, 66, 22, 5378, 81920, 143.05
2026/04/29 13:15:59.283, 57, 2, 5378, 81920, 120.54
2026/04/29 13:16:00.284, 40, 1, 5378, 81920, 185.63
2026/04/29 13:16:01.289, 46, 5, 5378, 81920, 158.05
2026/04/29 13:16:02.289, 29, 13, 5378, 81920, 160.89
2026/04/29 13:16:03.290, 89, 19, 5378, 81920, 137.02
2026/04/29 13:16:04.291, 72, 7, 5378, 81920, 120.81
2026/04/29 13:16:05.292, 48, 8, 5378, 81920, 136.84
2026/04/29 13:16:06.293, 39, 4, 5378, 81920, 303.37
2026/04/29 13:16:07.293, 35, 11, 5378, 81920, 269.85
2026/04/29 13:16:08.294, 93, 23, 5378, 81920, 178.21
2026/04/29 13:16:09.295, 42, 4, 5378, 81920, 175.87
2026/04/29 13:16:10.295, 73, 15, 5378, 81920, 128.69
2026/04/29 13:16:11.296, 13, 2, 5378, 81920, 251.23
2026/04/29 13:16:12.297, 32, 4, 5378, 81920, 139.24
2026/04/29 13:16:13.297, 51, 7, 5378, 81920, 121.00
2026/04/29 13:16:14.298, 46, 7, 5378, 81920, 124.82
2026/04/29 13:16:15.299, 11, 1, 5378, 81920, 120.54
2026/04/29 13:16:16.300, 34, 4, 5378, 81920, 134.35
2026/04/29 13:16:17.301, 62, 10, 5378, 81920, 188.90
2026/04/29 13:16:18.302, 32, 11, 5378, 81920, 188.90
2026/04/29 13:16:19.303, 46, 3, 5378, 81920, 133.15
2026/04/29 13:16:20.303, 30, 2, 5378, 81920, 131.82
2026/04/29 13:16:21.304, 52, 8, 5378, 81920, 194.56
2026/04/29 13:16:22.305, 19, 0, 5378, 81920, 120.68
2026/04/29 13:16:23.306, 37, 4, 5378, 81920, 168.46
2026/04/29 13:16:24.306, 20, 3, 5378, 81920, 121.13
2026/04/29 13:16:25.307, 69, 26, 5378, 81920, 309.03
2026/04/29 13:16:26.307, 20, 4, 5378, 81920, 120.54
2026/04/29 13:16:27.308, 45, 4, 5378, 81920, 121.88
2026/04/29 13:16:28.309, 23, 7, 5378, 81920, 121.13
2026/04/29 13:16:29.310, 71, 7, 5378, 81920, 140.71
2026/04/29 13:16:30.311, 29, 12, 5378, 81920, 351.38
2026/04/29 13:16:31.354, 81, 20, 5378, 81920, 141.44
2026/04/29 13:16:32.354, 84, 16, 5378, 81920, 231.69
2026/04/29 13:16:33.355, 79, 18, 5378, 81920, 135.04
2026/04/29 13:16:34.356, 78, 22, 5378, 81920, 244.08
2026/04/29 13:16:35.357, 70, 30, 5378, 81920, 121.13
2026/04/29 13:16:36.358, 86, 11, 5378, 81920, 130.02
2026/04/29 13:16:37.359, 70, 13, 5378, 81920, 260.43
2026/04/29 13:16:38.359, 80, 9, 5378, 81920, 284.10
2026/04/29 13:16:39.360, 82, 14, 5378, 81920, 280.26
2026/04/29 13:16:40.361, 78, 17, 5378, 81920, 148.57
2026/04/29 13:16:41.362, 94, 25, 5378, 81920, 132.09
2026/04/29 13:16:42.362, 84, 6, 5378, 81920, 201.04
2026/04/29 13:16:43.363, 82, 22, 5378, 81920, 121.00
2026/04/29 13:16:44.364, 62, 17, 5378, 81920, 134.35
2026/04/29 13:16:45.365, 59, 19, 5378, 81920, 142.18
2026/04/29 13:16:46.366, 88, 4, 5378, 81920, 125.28
2026/04/29 13:16:47.366, 39, 1, 5378, 81920, 297.77
2026/04/29 13:16:48.367, 81, 12, 5378, 81920, 120.41
2026/04/29 13:16:49.368, 30, 10, 5378, 81920, 127.81
2026/04/29 13:16:50.369, 32, 1, 5378, 81920, 207.30
2026/04/29 13:16:51.369, 70, 10, 5378, 81920, 148.40
2026/04/29 13:16:52.370, 60, 19, 5378, 81920, 141.17
2026/04/29 13:16:53.371, 65, 24, 5378, 81920, 137.17
2026/04/29 13:16:54.372, 89, 8, 5378, 81920, 136.24
2026/04/29 13:16:55.373, 42, 6, 5378, 81920, 132.70
2026/04/29 13:16:56.374, 40, 7, 5378, 81920, 132.36
2026/04/29 13:16:57.375, 21, 9, 5378, 81920, 141.76
2026/04/29 13:16:58.375, 87, 18, 5378, 81920, 137.30
2026/04/29 13:16:59.376, 62, 8, 5378, 81920, 132.56
2026/04/29 13:17:00.377, 46, 6, 5378, 81920, 120.68
2026/04/29 13:17:01.384, 62, 4, 5378, 81920, 120.41
2026/04/29 13:17:02.384, 42, 3, 5378, 81920, 120.68
2026/04/29 13:17:03.385, 16, 3, 5378, 81920, 330.64
2026/04/29 13:17:04.386, 65, 26, 5378, 81920, 181.21
2026/04/29 13:17:05.386, 54, 13, 5378, 81920, 282.33
2026/04/29 13:17:06.387, 63, 21, 5378, 81920, 145.90
2026/04/29 13:17:07.388, 20, 6, 5378, 81920, 307.83
2026/04/29 13:17:08.389, 49, 7, 5378, 81920, 148.57
2026/04/29 13:17:09.389, 43, 9, 5378, 81920, 207.58
2026/04/29 13:17:10.390, 43, 4, 5378, 81920, 120.41
2026/04/29 13:17:11.391, 87, 24, 5378, 81920, 139.51
2026/04/29 13:17:12.391, 59, 3, 5378, 81920, 145.18
2026/04/29 13:17:13.392, 65, 2, 5378, 81920, 122.61
